firstName,lastName,onLoan,height,weight,position,rosterCategory,playerCategories,jerseyNumber,Team,Games played,Minutes played,Starts,Subbed off,Clearances,Blocks,Interceptions,Success Rate - Tackles,Success Rate - Duels,Success Rate - Aerial Duels,Success Rate - Passes,Total passes,Successful passes,Passes per 90 mins,Success Rate - Long Passes,Pass Direction - Forward,Pass Direction - Left,Pass Direction - Right,Pass Direction - Back,Pass Accuracy - Opp. Half,Pass Accuracy - Own Half,Total open play crosses,Succ. crosses,Assists,Second assists,Key Passes,Total shots (excluding blocked shots),Shots on target,Goals scored,Conversion rate,Mins per goal,Left foot goals,Right foot goals,Headed goals,Other,Goals inside the box,Goals outside the box,Direct free kick goals,Fouls won,Fouls conceded,Yellow cards,Red cards,Success Rate - Saves,Clean sheets,Catches,Punches,Drops,Penalties saved
Adrían,Zendejas,TRUE,196,84,Goalkeeper,Senior,,30,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick,Jones,FALSE,192,80,Midfielder,Senior,Homegrown,20,clt,17,"1,401",15,0,22,5,22,75%,60.60%,56.40%,86.80%,584,507,37.5,45.80%,23.60%,28.60%,31.50%,16.30%,81.10%,90.60%,1,0,0,0,0,4,0,0,0%,-,0,0,0,0,0,0,0,27,20,8,0,,,,,,
Harrison,Afful,FALSE,171,67,Defender,Supplemental Slots 21-24,,25,clt,14,898,10,4,23,1,19,63.60%,46.50%,64.30%,85.10%,572,487,57.3,45%,36.70%,14.90%,31.10%,17.30%,77.50%,90.60%,7,2,1,1,6,3,1,0,0%,-,0,0,0,0,0,0,0,3,13,3,0,,,,,,
Justin,Meram,FALSE,185,75,Midfielder,Senior,,22,clt,17,964,12,10,8,1,7,75%,48%,40.90%,82.40%,398,328,37.2,79.40%,23.40%,6.30%,38.20%,32.20%,69.20%,88.20%,23,4,4,1,10,15,9,3,20%,321.3,1,2,0,0,3,0,0,13,11,3,0,,,,,,
Ousmane,Doumbia,TRUE,172,68,Midfielder,,Designated Player,,chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgios,Koutsias,FALSE,180,74,Forward,Senior,,19,chi,13,361,4,4,5,3,2,50%,35.60%,38.50%,85.40%,103,88,25.7,50%,12.60%,21.40%,20.40%,45.60%,85.70%,83.30%,1,0,0,0,2,6,3,2,33.30%,180.5,0,2,0,0,2,0,0,3,7,2,0,,,,,,
Jeffrey,Gal,FALSE,187,,Goalkeeper,Supplemental Slots 21-24,,25,chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnaud,Souquet,FALSE,179,72,Defender,Senior,International,2,chi,19,"1,496",18,8,33,6,21,72.40%,49.40%,38.50%,76.70%,580,445,34.9,38.50%,44.80%,34.30%,6.20%,14.70%,67.90%,81.40%,44,15,3,0,11,5,1,0,0%,-,0,0,0,0,0,0,0,22,29,2,1,,,,,,
Alonso,Aceves,TRUE,179,64,Defender,Senior,International,3,chi,11,475,5,3,17,7,7,66.70%,52.50%,38.50%,74.90%,167,125,31.6,37.50%,37.10%,3.00%,39.50%,20.40%,61.10%,77.90%,15,1,0,0,3,1,0,0,0%,-,0,0,0,0,0,0,0,5,6,1,0,,,,,,
Maren,Haile-Selassie,TRUE,177,68,Midfielder,Senior,International,7,chi,18,"1,179",12,7,8,1,14,71.40%,41.30%,13.30%,83.30%,365,304,27.9,59.30%,23.80%,33.40%,11.80%,31.00%,70.40%,87.10%,35,4,1,1,22,11,8,3,27.30%,393,1,2,0,0,3,0,0,11,11,1,0,,,,,,
Jonathan,Dean,FALSE,173,72,Midfielder,Supplemental Slots 21-24,,24,chi,11,507,4,0,15,2,11,71.40%,48.20%,47.80%,72.90%,177,129,31.4,25%,48.60%,15.30%,20.30%,15.80%,65.80%,79.40%,8,2,0,0,3,0,0,0,-,-,0,0,0,0,0,0,0,2,5,2,0,,,,,,
Justin,Reynolds,FALSE,175,75,Defender,Supplemental Slots 29-30,Homegrown,36,chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jairo,Torres,FALSE,169,70,Forward,Senior,InternationalYoung Designated Player,20,chi,11,408,5,4,3,0,3,60%,47.60%,66.70%,86%,164,141,36.2,54.50%,29.90%,18.30%,27.40%,24.40%,75.90%,95.20%,3,1,0,1,8,5,2,0,0%,-,0,0,0,0,0,0,0,11,8,2,0,,,,,,
Kendall,Burks,FALSE,188,87,Defender,Senior,,27,chi,8,493,5,1,23,7,6,71.40%,59.50%,63.60%,83.70%,190,159,34.7,47.60%,40.50%,24.20%,29.50%,5.80%,69.80%,89.80%,1,0,0,0,0,2,0,0,0%,-,0,0,0,0,0,0,0,3,6,1,0,,,,,,
Rafael,Czichos,FALSE,187,86,Defender,Senior,International,5,chi,20,"1,565",17,1,64,10,38,76.50%,60%,59.60%,83%,787,653,45.3,55.20%,46.40%,15.80%,33.30%,4.60%,70.20%,89%,4,0,0,0,1,11,4,2,18.20%,782.5,2,0,0,0,2,0,0,11,14,3,0,,,,,,
Victor,Bezerra,FALSE,188,79,Forward,Supplemental Slots 25-28,Homegrown,33,chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio,Oregel,FALSE,175,65,Midfielder,,,35,chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missael,Rodríguez,FALSE,175,73,Forward,Supplemental Slots 29-30,Homegrown,32,chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico,Navarro,FALSE,171,69,Midfielder,Senior,InternationalU22 Initiative,31,chi,12,822,11,3,10,5,12,78.60%,48.10%,42.90%,85.70%,335,287,36.7,64.30%,31.00%,28.10%,28.40%,12.50%,85.40%,85.90%,0,0,0,0,2,3,1,0,0%,-,0,0,0,0,0,0,0,7,21,0,1,,,,,,
Carlos,Terán,FALSE,188,85,Defender,Senior,,4,chi,12,836,11,4,45,5,12,62.50%,57.30%,50%,79.50%,404,321,43.5,52.60%,42.30%,37.90%,13.90%,5.90%,67.10%,85.10%,4,0,0,0,1,5,3,1,20%,836,0,1,0,0,1,0,0,7,12,4,0,,,,,,
Chris,Brady,FALSE,191,77,Goalkeeper,Supplemental Slots 21-24,Homegrown,34,chi,17,"1,470",17,1,19,,,,,,54.90%,368,202,22.5,29.60%,67.90%,17.40%,14.70%,0.00%,21.70%,78.20%,0,0,0,0,0,,,,,,,,,,,,,5,0,1,0,69%,3,15,9,2,0
Alex,Monis,FALSE,168,60,Forward,Supplemental Slots 25-28,Homegrown,38,chi,1,9,0,0,0,0,1,100%,100%,-,75%,4,3,40,0%,25.00%,25.00%,0.00%,50.00%,50%,50%,2,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Javier,Casas,FALSE,162,65,Midfielder,Supplemental Slots 25-28,Homegrown,37,chi,3,52,0,0,1,0,1,100%,33.30%,50%,82.60%,23,19,39.8,0%,47.80%,30.40%,13.00%,8.70%,73.30%,88.90%,1,0,0,1,0,1,0,0,0%,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Brian,Gutiérrez,FALSE,178,64,Midfielder,Supplemental Slots 25-28,Homegrown,17,chi,19,"1,384",16,11,7,2,4,44.40%,51.40%,21.70%,80%,564,451,36.7,66%,29.30%,22.90%,30.00%,17.90%,76.60%,85.70%,9,5,5,2,17,14,4,0,0%,-,0,0,0,0,0,0,0,35,21,2,0,,,,,,
Gastón,Giménez,FALSE,188,82,Midfielder,Senior,Designated Player,30,chi,19,"1,318",15,8,16,9,14,74.20%,51.80%,55.60%,83%,716,594,48.9,52.60%,33.90%,23.90%,29.50%,12.70%,72.20%,90.80%,7,2,0,1,13,8,0,0,0%,-,0,0,0,0,0,0,0,10,25,5,0,,,,,,
Miguel,Navarro,FALSE,175,70,Defender,Senior,,6,chi,13,"1,063",12,3,28,3,26,65.20%,64.10%,63.60%,73.70%,498,367,42.2,27.30%,48.40%,5.00%,32.90%,13.70%,64.40%,78.20%,29,6,2,0,7,4,0,0,0%,-,0,0,0,0,0,0,0,31,20,6,0,,,,,,
Mauricio,Pineda,FALSE,185,78,Defender,Supplemental Slots 21-24,Homegrown,22,chi,16,"1,027",9,2,31,6,18,53.80%,52.30%,48.40%,83.90%,497,417,43.6,53.50%,36.00%,32.80%,25.60%,5.60%,73.90%,89.50%,1,0,0,0,4,3,0,0,0%,-,0,0,0,0,0,0,0,12,10,4,0,,,,,,
Kacper,Przyby?ko,FALSE,192,88,Forward,Senior,,11,chi,17,825,11,9,12,2,3,50%,49.60%,44.90%,73%,241,176,26.3,33.30%,20.30%,26.60%,21.60%,31.50%,69.30%,79.50%,5,3,2,0,7,15,8,3,20%,275,1,2,0,0,3,0,0,13,6,1,0,,,,,,
Wyatt,Omsberg,FALSE,193,82,Defender,Senior,,16,chi,6,304,3,0,15,5,11,25%,53.80%,57.10%,79.90%,154,123,45.6,37.50%,48.70%,23.40%,22.10%,5.80%,60%,88.10%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,2,3,2,0,,,,,,
Chris,Mueller,FALSE,175,75,Forward,Senior,,8,chi,10,709,8,3,6,1,3,100%,45.20%,48%,78.50%,275,216,34.9,58.80%,23.60%,10.50%,44.40%,21.50%,75.40%,80.20%,8,2,0,2,9,11,3,2,18.20%,354.5,0,2,0,0,2,0,0,9,10,1,0,,,,,,
Fabian,Herbers,FALSE,183,75,Forward,Senior,,21,chi,18,"1,057",13,8,10,2,13,73.10%,55.70%,28.60%,82%,518,425,44.1,50%,27.80%,34.70%,19.30%,18.10%,77.30%,83.10%,22,4,0,0,11,9,5,3,33.30%,352.3,0,3,0,0,3,0,0,24,17,5,1,,,,,,
Spencer,Richey,FALSE,185,88,Goalkeeper,Senior,,18,chi,4,330,3,0,2,,,,,,75.60%,86,65,23.5,44.70%,47.70%,25.60%,26.70%,0.00%,43.50%,87.30%,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,66.70%,0,1,0,2,0
Kei,Kamara,FALSE,191,85,Forward,Senior,,23,chi,17,962,10,7,18,1,4,20%,47.80%,59.60%,69%,261,180,24.4,40%,21.50%,24.10%,24.90%,29.50%,60.30%,82.80%,10,3,1,0,7,29,15,5,17.20%,192.4,1,1,3,0,5,0,0,6,10,0,1,,,,,,
Xherdan,Shaqiri,FALSE,169,72,Midfielder,Senior,InternationalDesignated Player,10,chi,15,"1,035",11,3,1,1,4,71.40%,48.30%,37.50%,78.50%,498,391,43.3,59.30%,29.90%,30.70%,22.90%,16.50%,67.70%,85.60%,25,4,2,1,23,7,3,2,28.60%,517.5,2,0,0,0,2,0,0,25,2,1,0,,,,,,
London,Aghedo,FALSE,,,Defender,Supplemental Slots 25-28,,,cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey,Akpunonu,FALSE,191,84,Defender,Supplemental Slots 25-28,Generation adidas,3,cin,1,8,0,0,0,0,0,-,100%,-,100%,3,3,33.8,-,66.70%,0.00%,33.30%,0.00%,100%,100%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,1,0,0,0,,,,,,
Yerson,Mosquera,TRUE,187,76,Defender,Senior,International,15,cin,17,"1,494",17,3,67,11,37,80%,59.60%,60.50%,80.60%,798,643,48.1,36.80%,44.00%,20.80%,28.80%,6.40%,73.10%,85.50%,1,0,0,0,3,6,2,2,33.30%,747,0,0,2,0,2,0,0,30,26,5,0,,,,,,
Malik,Pinto,FALSE,,,Midfielder,,,26,cin,16,279,1,1,4,3,1,33.30%,45.70%,28.60%,88.70%,124,110,40,75%,25.80%,29.00%,34.70%,10.50%,87.50%,90.90%,0,0,0,0,1,0,0,0,-,-,0,0,0,0,0,0,0,4,6,1,0,,,,,,
Stiven,Jimenez,FALSE,,,Defender,Supplemental Slots 29-30,Homegrown,37,cin,1,1,0,0,0,0,0,-,0%,0%,-,0,0,0,-,-%,-%,-%,-%,-%,-%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Marco,Angulo,FALSE,180,67,Midfielder,Senior,InternationalU22 Initiative,8,cin,15,568,7,6,2,1,13,78.60%,39.70%,15.40%,85.10%,288,245,45.6,69.20%,28.10%,25.00%,29.20%,17.70%,83.90%,86.50%,0,0,1,1,5,2,0,0,0%,-,0,0,0,0,0,0,0,1,10,2,0,,,,,,
Isaiah,Foster,FALSE,183,78,Defender,,,33,cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obinna,Nwobodo,FALSE,180,,Midfielder,Senior,InternationalDesignated Player,5,cin,17,"1,478",17,5,28,1,35,70.40%,49.20%,44.40%,85.60%,702,601,42.7,61.90%,26.10%,32.90%,26.10%,15.00%,82.80%,88.10%,4,0,2,2,10,5,4,1,20%,"1,478",0,1,0,0,1,0,0,17,28,7,0,,,,,,
Paul,Walters,FALSE,190,,Goalkeeper,Supplemental Slots 25-28,,,cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerardo,Valenzuela,FALSE,183,,Midfielder,Supplemental Slots 29-30,Homegrown,58,cin,1,1,0,0,0,0,0,-,50%,0%,-,0,0,0,-,-%,-%,-%,-%,-%,-%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,1,0,0,0,,,,,,
Ian,Murphy,FALSE,,,Defender,Supplemental Slots 25-28,,32,cin,10,592,7,2,13,3,2,68.80%,48.20%,45%,76.40%,284,217,43.2,13.20%,48.60%,14.40%,27.10%,9.90%,61.90%,86.70%,0,0,0,0,1,1,0,0,0%,-,0,0,0,0,0,0,0,2,10,1,1,,,,,,
Roman,Celentano,FALSE,,,Goalkeeper,Supplemental Slots 21-24,Generation adidas,18,cin,20,"1,800",20,0,16,,,,,,60.70%,415,252,20.8,40.40%,74.20%,13.00%,12.80%,0.00%,39%,82.90%,0,0,0,0,0,,,,,,,,,,,,,3,0,1,0,74.70%,9,13,7,1,0
Brenner,Souza da Silva,FALSE,175,70,Forward,Senior,Young Designated Player,9,cin,8,536,6,5,2,0,2,83.30%,45.10%,66.70%,84.80%,224,190,37.6,88.20%,20.50%,21.90%,32.60%,25.00%,85.40%,83.60%,1,1,0,0,6,17,9,1,5.90%,536,0,1,0,0,1,0,0,8,4,2,0,,,,,,
Álvaro,Barreal,FALSE,172,66,Midfielder,Senior,U22 Initiative,31,cin,20,"1,726",20,11,23,1,23,73.70%,50.80%,44.40%,74.80%,779,583,40.6,36.50%,34.70%,4.20%,38.60%,22.50%,62.50%,81%,51,12,4,1,44,22,9,2,9.10%,863,2,0,0,0,1,1,1,23,23,5,0,,,,,,
Yuya,Kubo,FALSE,178,72,Forward,Senior,,7,cin,13,516,5,5,4,0,5,69.20%,50%,66.70%,81.40%,183,149,31.9,88.90%,23.50%,30.60%,21.30%,24.60%,80.20%,80.60%,5,2,2,0,8,11,2,0,0%,-,0,0,0,0,0,0,0,11,12,1,0,,,,,,
Sergio,Santos,FALSE,183,84,Forward,Senior,,17,cin,14,487,5,6,4,0,0,90%,38.90%,36.40%,72.30%,119,86,22,100%,19.30%,23.50%,26.90%,30.30%,67.10%,83.30%,2,1,1,0,9,18,8,4,22.20%,121.8,1,2,1,0,4,0,0,8,13,3,0,,,,,,
Junior,Moreno,FALSE,175,70,Midfielder,Senior,,93,cin,16,"1,321",15,5,11,6,15,52.40%,55.40%,100%,90.30%,637,575,43.4,73.20%,30.10%,29.50%,27.80%,12.60%,88.70%,91.90%,1,1,1,0,7,5,3,3,60%,440.3,0,3,0,0,3,0,0,15,16,0,0,,,,,,
Evan,Louro,FALSE,191,102,Goalkeeper,Supplemental Slots 21-24,,36,cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,Vazquez,FALSE,188,90,Forward,Senior,,19,cin,17,"1,439",16,6,8,0,2,80%,51.50%,52.10%,67.20%,354,238,22.1,57.70%,18.60%,29.40%,18.40%,33.60%,64.40%,74.10%,4,3,1,1,9,34,16,4,11.80%,359.8,1,3,0,0,3,1,0,31,16,2,0,,,,,,
Luciano,Acosta,FALSE,161,61,Midfielder,Senior,,10,cin,19,"1,514",17,11,1,1,10,45.80%,43.10%,20%,73%,736,537,43.8,50%,37.50%,22.70%,22.00%,17.80%,64.30%,86.80%,14,3,4,2,52,42,23,9,21.40%,168.2,1,8,0,0,7,2,0,44,36,4,0,,,,,,
Dominique,Badji,FALSE,183,77,Forward,Senior,,14,cin,16,687,8,8,6,0,1,55.60%,48.80%,58.80%,77.50%,142,110,18.6,83.30%,19.70%,20.40%,24.60%,35.20%,74%,80%,3,0,3,0,11,13,9,4,30.80%,171.8,2,2,0,0,4,0,0,9,14,0,0,,,,,,
Matt,Miazga,FALSE,193,84,Defender,,,21,cin,17,"1,530",17,0,94,21,22,68.80%,69.60%,70.10%,86.80%,819,711,48.2,57.60%,31.10%,33.80%,30.50%,4.50%,73.40%,92.70%,1,0,1,0,4,8,3,0,0%,-,0,0,0,0,0,0,0,11,10,4,0,,,,,,
Raymon,Gaddis,FALSE,175,65,Defender,Senior,,28,cin,20,"1,009",12,7,13,4,10,63.60%,58.30%,26.70%,80.50%,333,268,29.7,30.80%,39.30%,33.60%,9.30%,17.70%,77.30%,81.80%,7,1,0,0,4,1,0,0,0%,-,0,0,0,0,0,0,0,6,5,2,0,,,,,,
Alvas,Powell,FALSE,183,75,Defender,Senior,,2,cin,17,586,6,3,23,3,8,60%,57.90%,62.50%,75.20%,214,161,32.9,47.40%,40.20%,38.80%,7.50%,13.60%,60.20%,86.90%,11,3,0,0,3,2,1,0,0%,-,0,0,0,0,0,0,0,13,6,0,0,,,,,,
Nick,Hagglund,FALSE,186,87,Defender,Supplemental Slots 21-24,,4,cin,14,"1,208",14,1,57,9,25,52.60%,61.30%,64.50%,81.50%,567,462,42.2,40.80%,47.40%,32.50%,13.10%,7.10%,71%,89.80%,2,1,0,0,3,4,0,0,0%,-,0,0,0,0,0,0,0,6,12,0,1,,,,,,
Alec,Kann,FALSE,194,87,Goalkeeper,Senior,,1,cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago,Arias,FALSE,178,72,Defender,Senior,,13,cin,15,766,7,5,13,2,14,66.70%,53%,50%,76.10%,331,252,38.9,42.90%,31.70%,44.70%,4.50%,19.00%,70.10%,83.80%,9,2,1,0,10,9,5,1,11.10%,766,0,1,0,0,1,0,0,9,7,0,0,,,,,,
Rémi,Cabral,FALSE,183,79,Forward,,,49,col,1,11,0,0,0,0,0,0%,66.70%,-,100%,5,5,40.9,-,0.00%,40.00%,40.00%,20.00%,100%,-%,0,0,0,0,0,1,0,0,0%,-,0,0,0,0,0,0,0,1,0,0,0,,,,,,
Moïse,Bombito,FALSE,190,83,Defender,Supplemental Slots 25-28,Generation adidas,64,col,5,211,2,1,7,1,2,70%,53.10%,50%,79.10%,86,68,36.7,54.50%,29.10%,23.30%,33.70%,14.00%,76.50%,83.30%,1,1,0,0,3,2,1,0,0%,-,0,0,0,0,0,0,0,0,8,1,1,,,,,,
Alex,Gersbach,FALSE,183,73,Defender,Senior,International,16,col,3,262,3,1,10,1,6,40%,36.40%,12.50%,67.40%,95,64,32.6,0%,36.80%,4.20%,42.10%,16.80%,61.70%,67.90%,5,1,0,0,1,0,0,0,-,-,0,0,0,0,0,0,0,1,3,0,0,,,,,,
Connor,Ronan,FALSE,170,70,Midfielder,Senior,International,20,col,20,"1,706",20,8,11,1,13,60.90%,45.40%,35.70%,85.80%,"1,102",946,58.1,66.90%,29.70%,27.50%,27.60%,15.20%,73.50%,91.90%,15,4,3,3,31,14,5,1,7.10%,"1,706",0,1,0,0,1,0,0,9,7,0,0,,,,,,
Marko,Ilic,TRUE,191,81,Goalkeeper,Senior,International,1,col,3,270,3,0,2,,,,,,77.80%,90,70,30,53.50%,48.90%,30.00%,21.10%,0.00%,25%,92.90%,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,58.30%,1,0,0,0,0
Daouda,Amadou,FALSE,160,,Midfielder,,,45,col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny,Leyva,TRUE,178,68,Midfielder,Supplemental Slots 21-24,Homegrown,15,col,13,514,5,4,6,2,9,50%,47.80%,40%,80.50%,262,211,45.9,50%,32.10%,28.20%,26.70%,13.00%,77.50%,84.30%,4,2,0,0,8,5,3,0,0%,-,0,0,0,0,0,0,0,21,9,0,0,,,,,,
Andreas,Maxsø,FALSE,190,85,Defender,Senior,Designated PlayerInternational,5,col,19,"1,665",19,1,57,13,10,50%,56.70%,60.80%,88.70%,894,793,48.3,49.40%,24.00%,38.90%,32.00%,5.00%,67.70%,94.50%,1,0,0,0,3,5,1,0,0%,-,0,0,0,0,0,0,0,7,8,1,0,,,,,,
Yosuke,Hanya,FALSE,,,Forward,,,47,col,2,47,0,0,0,0,0,-,66.70%,100%,77.80%,9,7,17.2,-,22.20%,33.30%,0.00%,44.40%,50%,100%,2,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,1,1,0,0,,,,,,
Marlon,Vargas,FALSE,165,63,Midfielder,,,39,col,1,11,0,0,0,0,0,-,-,-,62.50%,8,5,65.5,-,50.00%,12.50%,25.00%,12.50%,40%,100%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Max,Alves da Silva,FALSE,175,73,Midfielder,Senior,InternationalU22 Initiative,8,col,10,663,7,4,12,0,7,61.10%,51.20%,34.80%,79%,248,196,33.7,65.40%,27.80%,25.40%,24.20%,22.60%,74.90%,81.90%,6,0,0,0,8,9,4,1,11.10%,663,0,1,0,0,1,0,0,5,10,4,0,,,,,,
Kévin,Cabral,FALSE,185,69,Forward,Senior,International,91,col,17,873,11,8,2,1,8,46.70%,45.30%,31.80%,75.60%,164,124,16.9,45.50%,16.50%,22.60%,25.60%,35.40%,73.30%,80%,2,1,0,0,5,13,9,2,15.40%,436.5,0,2,0,0,2,0,0,13,16,7,0,,,,,,
Darren,Yapi,FALSE,185,79,Forward,Supplemental Slots 25-28,Homegrown,77,col,13,604,5,2,11,1,1,100%,37.70%,40.90%,62.20%,119,74,17.7,66.70%,20.20%,22.70%,25.20%,31.90%,51.60%,80%,7,1,1,0,5,6,3,0,0%,-,0,0,0,0,0,0,0,11,16,2,0,,,,,,
Oliver,Larraz,FALSE,178,63,Midfielder,Supplemental Slots 29-30,Homegrown,18,col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,Edwards,FALSE,192,80,Defender,Supplemental Slots 21-24,Homegrown,34,col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalas,Abubakar,FALSE,185,82,Defender,Senior,,6,col,19,"1,419",17,5,49,14,24,41.20%,48.10%,51%,85.60%,819,701,51.9,40.40%,36.40%,37.50%,18.70%,7.40%,71.50%,91.90%,1,1,0,0,3,5,2,2,40%,709.5,0,0,2,0,2,0,0,6,25,4,1,,,,,,
Calvin,Harris,FALSE,183,73,Forward,Supplemental Slots 21-24,Generation adidas,14,col,4,91,1,1,1,0,0,50%,36.40%,20%,80%,25,20,24.7,100%,4.00%,0.00%,32.00%,64.00%,56.30%,100%,2,0,1,0,1,1,0,0,0%,-,0,0,0,0,0,0,0,1,1,0,0,,,,,,
Ralph,Priso,FALSE,175,80,Midfielder,Supplemental Slots 21-24,Homegrown,97,col,15,438,5,5,4,0,2,38.50%,43.30%,25%,82.40%,204,168,41.9,54.50%,27.90%,25.50%,26.50%,20.10%,75.90%,91.80%,2,0,0,1,4,1,0,0,0%,-,0,0,0,0,0,0,0,5,12,5,0,,,,,,
Steven,Beitashour,FALSE,178,78,Defender,Senior,,33,col,9,516,6,5,14,2,2,80%,64.50%,64.30%,81.60%,212,173,37,31.30%,42.90%,7.10%,29.20%,20.80%,74.30%,88.60%,2,1,0,0,1,0,0,0,-,-,0,0,0,0,0,0,0,7,4,0,0,,,,,,
Braian,Galván,FALSE,166,64,Midfielder,Senior,International,29,col,9,190,2,1,1,1,4,100%,70%,0%,76.80%,99,76,46.9,100%,34.30%,36.40%,16.20%,13.10%,66.20%,80.60%,9,0,0,0,2,2,0,0,0%,-,0,0,0,0,0,0,0,8,1,0,2,,,,,,
William,Yarbrough,FALSE,187,73,Goalkeeper,Senior,,22,col,17,"1,530",17,0,19,,,,,,68.40%,469,321,27.6,37.90%,59.10%,19.60%,21.30%,0.00%,25.30%,88.70%,0,0,0,0,0,,,,,,,,,,,,,1,0,0,0,71.40%,5,10,7,0,0
Abraham,Rodriguez,FALSE,173,75,Goalkeeper,Supplemental Slots 25-28,Homegrown,26,col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian,Anderson,FALSE,173,70,Defender,Supplemental Slots 21-24,Homegrown,27,col,1,2,0,0,0,0,0,0%,100%,-,0%,1,0,45,-,0.00%,100.00%,0.00%,0.00%,-%,0%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Aboubacar,Keita,FALSE,188,81,Defender,Senior,Homegrown,30,col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole,Bassett,FALSE,180,68,Midfielder,Senior,Homegrown,23,col,12,830,10,4,6,1,1,78.60%,42.70%,33.30%,82.20%,325,267,35.2,61.50%,20.00%,24.30%,32.90%,22.80%,75.50%,87.80%,13,0,0,0,11,16,7,2,12.50%,415,1,1,0,0,1,1,0,7,16,2,0,,,,,,
Danny,Wilson,FALSE,187,79,Defender,Senior,,4,col,19,"1,617",18,2,71,18,16,37.50%,52.10%,57.40%,80.30%,928,745,51.7,43%,46.80%,12.80%,36.10%,4.30%,62.20%,93%,1,1,1,0,5,7,4,1,14.30%,"1,617",0,0,1,0,1,0,0,8,16,3,0,,,,,,
Jack,Price,FALSE,170,67,Midfielder,Senior,International,19,col,2,37,0,1,0,0,1,50%,66.70%,-,84.60%,26,22,63.2,50%,30.80%,23.10%,30.80%,15.40%,61.10%,100%,1,0,0,0,1,0,0,0,-,-,0,0,0,0,0,0,0,0,1,1,0,,,,,,
Sam,Nicholson,FALSE,175,71,Midfielder,Senior,International,28,col,17,"1,289",16,11,20,4,11,75%,48.30%,41%,76.90%,402,309,28.1,33.30%,29.10%,18.20%,25.60%,27.10%,68.80%,80.60%,27,2,1,0,10,10,2,1,10%,"1,289",0,1,0,0,1,0,0,18,20,5,0,,,,,,
Bryan,Acosta,FALSE,175,80,Midfielder,Senior,,21,col,11,857,10,4,12,3,5,70%,49.40%,54.50%,81.20%,345,280,36.2,61.80%,25.50%,25.80%,29.60%,19.10%,67.60%,89.60%,8,2,0,1,23,10,5,0,0%,-,0,0,0,0,0,0,0,2,19,5,0,,,,,,
Jonathan,Lewis,FALSE,170,68,Forward,Senior,,7,col,17,921,10,7,3,1,3,66.70%,47.90%,26.30%,83.60%,183,153,17.9,37.50%,13.70%,12.60%,39.90%,33.90%,71.90%,90%,16,1,0,0,8,18,9,1,5.60%,921,1,0,0,0,1,0,0,13,9,0,0,,,,,,
Diego,Rubio,FALSE,180,77,Forward,Senior,,11,col,8,600,7,4,14,0,5,62.50%,60.70%,40.70%,63.80%,174,111,26.1,50%,32.20%,21.80%,24.10%,21.80%,56.20%,72.20%,10,1,2,1,12,15,10,1,6.70%,600,0,1,0,0,0,1,0,19,2,1,0,,,,,,
